Ward No.,Ward Name,,,,,Population Density 2011 (people/square km),Low Income % (People with no assets),Water Quality,Normalized Population,Normalized Water,Normalized Income,Ward Ranking
1,Kempegowda Ward,Bangalore North (Additional),Yelahanka-1,Yelahanka,Chikballapur,3182,1.6,2.99,2.69526253822241,64.3198090692124,21.6216216216216,34.9156247839781
2,Chowdeshwari Ward,Bangalore North (Additional),Yelahanka-1,Yelahanka,Chikballapur,5635,4,4.23,4.77303721020845,49.5226730310263,54.0540540540541,42.3852982760738
3,Attur,Bangalore North (Additional),Yelahanka-3,Yelahanka,Chikballapur,6606,2.6,2.78,5.59550733108022,66.8257756563246,35.1351351351351,41.9034657827999
4,Yelahanka Satellite Town,Bangalore North (Additional),Yelahanka-1,Yelahanka,Chikballapur,9224,2.7,8.38,7.81304263122676,0,36.4864864864865,16.1572031208399
5,Jakkur,Bangalore North (Additional),Yelahanka-2,Byatarayanapura,Bangalore North,2215,5.5,2.71,1.8761805537909,67.6610978520286,74.3243243243243,57.1694049812994
6,Thanisandra,Bangalore East,Krishnarajapuram,Byatarayanapura,Bangalore North,7161,1.8,0.46,6.06561126216553,94.5107398568019,24.3243243243243,48.7471479248836
7,Byatarayanapura,Bangalore North (Additional),Yelahanka-2,Byatarayanapura,Bangalore North,7198,2.3,0.7,6.09695152423788,91.6467780429594,31.0810810810811,50.3105339544638
8,Kodigehalli,Bangalore North (Additional),Yelahanka-3,Byatarayanapura,Bangalore North,12369,1.8,2.63,10.4769649073768,68.6157517899761,24.3243243243243,39.2714234271955
9,Vidyaranyapura,Bangalore North (Additional),Yelahanka-3,Byatarayanapura,Bangalore North,5753,1.3,2.59,4.87298723519596,69.0930787589499,17.5675675675676,35.6388559776462
10,Doddabommasandra,Bangalore North (Additional),Yelahanka-3,Byatarayanapura,Bangalore North,8673,0.7,0.31,7.34632683658171,96.3007159904535,9.45945945945946,43.7733355472815
11,Kuvempunagar,Bangalore North (Additional),Yelahanka-2,Byatarayanapura,Bangalore North,5207,3.9,0.57,4.41050661110123,93.1980906921241,52.7027027027027,59.242418680151
12,Shettyhalli,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,7521,2.6,2.97,6.37054354178843,64.5584725536993,35.1351351351351,41.1515517838915
13,Mallasandra,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,31753,2.6,4.14,26.8958740968499,50.5966587112172,35.1351351351351,39.6718923579109
14,Bagalagunte,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,15203,2.2,2.21,12.8774595752971,73.6276849642005,29.7297297297297,43.9184577926315
15,T. Dasarahalli,Bangalore North,Yeshwanthpura-2,Dasarahalli,Bangalore North,37474,1.5,3.81,31.7417562405238,54.5346062052506,20.2702702702703,36.2703018383131
16,Jalahalli,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,7354,2,1.56,6.22908884540781,81.3842482100239,27.027027027027,44.6103278639019
17,J. P. Park,Bangalore North,City Circle,Rajarajeshwarinagar,Bangalore Rural,24203,1.6,2.55,20.5007665658696,69.5704057279236,21.6216216216216,40.576964252992
18,Radhakrishna Temple,Bangalore North,Yeshwanthpura-1,Hebbal,Bangalore North,18014,1.1,3.98,15.2584724586859,52.5059665871122,14.8648648648649,30.000027072528
19,Sanjaynagar,Bangalore North,Kasaba-2,Hebbal,Bangalore North,21096,1.1,3.82,17.869031585902,54.4152744630072,14.8648648648649,31.2858620483292
20,Ganganagar,Bangalore North (Additional),City Circle,Hebbal,Bangalore North,12096,1,2.62,10.2457245953295,68.7350835322196,13.5135135135135,34.9485837373591
21,Hebbala,Bangalore North,Kasaba-2,Hebbal,Bangalore North,26455,1.3,2.87,22.4082873817329,65.7517899761337,17.5675675675676,37.8094004938271
22,Vishwanatha Nagenahalli,Bangalore North,Kasaba-2,Hebbal,Bangalore North,34772,1.5,2.8,29.4530700751319,66.5871121718377,20.2702702702703,40.6335669918696
23,Nagavara,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,29205,1.6,7.71,24.7376311844078,7.99522673031026,21.6216216216216,16.7942655776543
24,HBR Layout,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,12717,2.3,5.08,10.771732777679,39.3794749403341,31.0810810810811,30.3385689641019
25,Horamavu,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,5437,1.5,3.1,4.60532445641586,63.0071599045346,20.2702702702703,34.2320369612051
26,Ramamurthynagar,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,6523,2,7.1,5.52520349994494,15.2744630071599,27.027027027027,18.0256367136638
27,Banaswadi,Bangalore East,Krishnarajapuram,Sarvagnanagar,Bangalore Central,14940,0.8,4.3,12.6546896043504,48.6873508353222,10.8108108108108,26.3302025793233
28,Kammanahalli,Bangalore South,Begur,Sarvagnanagar,Bangalore Central,45494,1.2,3.13,38.534969803234,62.6491646778043,16.2162162162162,39.253146318255
29,Kacharakanahalli,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,19916,0.9,6.44,16.8695313360269,23.1503579952267,12.1621621621622,17.4989143301609
30,Kadugondanahalli,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,65514,1.5,3.04,55.4925926867075,63.7231503579952,20.2702702702703,44.6958867886477
31,Kushalnagar,Bangalore North (Additional),City Circle,Pulakeshinagar,Bangalore North,65065,0.9,3.17,55.1122743712889,62.1718377088306,12.1621621621622,40.7560548226549
32,Kavalbyrasandra,Bangalore North,Kasaba-2,Pulakeshinagar,Bangalore North,24771,0.8,6.06,20.9818819403857,27.6849642004773,10.8108108108108,19.5946863925924
33,Manorayanapalya,Bangalore South,Tavarekere,Hebbal,Bangalore North,59123,1.7,3.51,50.0791976892909,58.1145584725537,22.972972972973,42.4508521160689
34,Gangenahalli,Bangalore South,Tavarekere,Hebbal,Bangalore North,22226,1,3.37,18.8261801302738,59.7852028639618,13.5135135135135,33.0847225770449
35,Aramanenagar,Bangalore North,City Circle,Malleshwaram,Bangalore North,4919,1,3.45,4.16656078740291,58.8305489260143,13.5135135135135,29.7709371332917
36,Mathikere,Bangalore North,City Circle,Malleshwaram,Bangalore North,41069,1.5,4.05,34.7868438662025,51.6706443914081,20.2702702702703,35.7337346379119
37,Yeshwanthpura,Bangalore North,City Circle,Rajarajeshwarinagar,Bangalore Rural,53039,1.8,2.95,44.9258421636639,64.7971360381862,24.3243243243243,44.633752577737
38,H. M. T.,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,7053,4,1.12,5.97413157827866,86.6348448687351,54.0540540540541,57.4703858847714
39,Chokkasandra,Bangalore North,Yeshwanthpura-2,Dasarahalli,Bangalore North,15752,4.3,2,13.342481301722,76.1336515513127,58.1081081081081,56.3652001241127
40,Dodda Bidarkallu,Bangalore North,Yeshwanthpura-2,Yeshvanthapura,Bangalore North,5649,5.3,1.73,4.78489568774935,79.3556085918854,71.6216216216216,61.3478712229527
41,Peenya Industrial Area,Bangalore North,Yeshwanthpura-1,Dasarahalli,Bangalore North,10423,3.6,3,8.82863652919303,64.200477326969,48.6486486486487,46.9053776960857
42,Lakshmidevinagar,Bangalore North,Yeshwanthpura-1,Rajarajeshwarinagar,Bangalore Rural,27235,6.4,5.17,23.0689739875825,38.3054892601432,86.4864864864865,54.5305850961684
43,Nandini Layout,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,36191,2.8,4.96,30.6550114773122,40.8114558472554,37.8378378378378,37.5907197694997
44,Marappana Palya,Bangalore North,City Circle,Mahalakshmi Layout,Bangalore North,19785,2.6,2.93,16.7585698676086,65.035799522673,35.1351351351351,43.420087836645
45,Malleshwaram,Bangalore North,City Circle,Malleshwaram,Bangalore North,18939,1.1,4.54,16.0419790104948,45.8233890214797,14.8648648648649,27.4836973566368
46,Jayachamarajendranagar,Bangalore North (Additional),City Circle,Hebbal,Bangalore North,35246,0.7,4.8,29.8545642433021,42.7207637231504,9.45945945945946,26.8430021217043
47,Devarajeevanahalli,Bangalore North,Kasaba-1,Pulakeshinagar,Bangalore North,30833,4.8,4.07,26.1166027155914,51.4319809069212,64.8648648648649,51.7420588518327
48,Muneshwaranagar,Bangalore South,City Circle,Pulakeshinagar,Bangalore North,74511,1.8,3.48,63.1133585749498,58.472553699284,24.3243243243243,45.7414229244333
49,Lingarajapuram,Bangalore North,Kasaba-1,Sarvagnanagar,Bangalore Central,43274,2.9,2.05,36.6545540788928,75.5369928400955,39.1891891891892,53.2213836274924
50,Benniganahalli,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,9980,2.2,3.72,8.45340041843485,55.6085918854415,29.7297297297297,35.8260087297555
51,Vijinapura,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,22464,2.1,1.55,19.027774248469,81.5035799522673,28.3783783783784,47.7583381819521
52,Krishnarajapuram,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,7308,1.4,3.03,6.19012527634488,63.8424821002387,18.9189189189189,34.342585462932
53,Basavanapura,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,7740,2.2,3.16,6.55604401189236,62.291169451074,29.7297297297297,38.1195684747
54,Hoodi,Bangalore East,Whitefield,Mahadevapura,Bangalore Central,3349,3.1,2.6,2.83671723460304,68.9737470167064,41.8918918918919,44.9135990103599
55,Devasandra,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,9754,3.5,6.68,8.26197070956047,20.2863961813843,47.2972972972973,28.6858715333847
56,A. Narayanapura,Bangalore East,Krishnarajapuram,Krishnarajapuram,Bangalore North,20286,1.9,4.07,17.1829339567504,51.4319809069212,25.6756756756757,34.2796494243888
57,C. V. Raman Nagar,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,16379,1.7,3.6,13.8735716887319,57.0405727923628,22.972972972973,34.7801326438807
58,Hosathippasandra,Bangalore East,Krishnarajapuram,C. V. Raman Nagar,Bangalore Central,13085,1.2,5.28,11.0834413301824,36.9928400954654,16.2162162162162,23.5003107907091
